시도,시군구,건강증진센터구분,건강증진센터명,소재지도로명주소,건강증진업무내용,운영기관전화번호,위도,경도
전라남도,신안군,건강증진,가거도건강증진센터,전라남도 신안군 흑산면 가거도길 36,"의과, 치과, 한의과 진료",061-246-3585,34.052388,125.1266341
전라남도,신안군,건강증진,홍도건강증진센터,전라남도 신안군 흑산면 홍도 1길 32,"의과, 치과, 한의과 진료",061-246-3701,34.68315259,125.191718
전라북도,장수군,건강증진,장계면건강생활지원센터,전라북도 장수군 장계면 한들로 124,만성질환예방및건강한생활습관 형성 지원,063-352-8700,35.73113068,127.5856752
인천광역시,남동구,정신보건,남동구정신건강복지센터,"인천광역시 남동구 인주대로 819, 6층","만성정신질환관리사업, 정신건강증진사업, 아동청소년정신건강사업, 자살예방사업",032-465-6412,37.4488382,126.728235
경기도,시흥시,정신보건,시흥시정신건강복지센터,경기도 시흥시 호현로 55,생애주기별 정신건강증진사업/정신장애인관리사업/자살예방사업,031-316-6661,37.44558366,126.7852959
경상남도,의령군,정신보건,의령군정신건강복지센터,경상남도 의령군 의령읍 의병로8길 16,"정신질환 예방, 상담, 치료연계, 정신질환자 주간재활프로그램 운영, 자살예방 및 정신건강증진 교육 등 군민정신건강증진 도모",055-570-4093,35.3178199,128.2547693
인천광역시,연수구,건강증진,맞춤형건강클리닉,인천광역시 연수구 함박뫼로 13,"치매검진, 당뇨.고혈압 상담 및 검사, 뇌경색.심뇌혈관질환, 정신건강 상담",032-749-8104,37.41913159,126.6711606
전라남도,장흥군,건강증진,장흥군건강증진센터,전라남도 장흥군 장흥읍 흥성로 49,"인바디 측정, 운동치료",061-860-6489,34.67646767,126.9083343
울산광역시,동구,건강증진,울산광역시 동구보건소 건강증진센터,울산광역시 동구 봉수로 155,장애인 전용 건강증진 프로그램 운영,052-209-4058,35.50506971,129.4164300357
전라북도,무주군,건강증진,무주군보건의료원 건강증진센터,전라북도 무주군 무주읍 한풍루로 413,"기초건강측정 및 상담, 운동처방, 운동프로그램 운영",063-320-8241,36.0058821,127.6716991
경기도,하남시,정신보건,하남시정신건강복지센터,경기도 하남시 미사강변대로 200,"정신건강증진사업, 아동청소년정신건강증진사업, 자살예방사업, 노인자살예방사업",031-793-6552,37.5676545044,127.1858193513
부산광역시,동래구,정신보건,동래구정신건강복지센터,부산광역시 동래구 명륜로187번길 56,지역정신건강증진,051-507-7306,35.21140793,129.0798561
서울특별시,성동구,정신보건,성동구정신건강복지센터,서울특별시 성동구 행당로 12,"정신건강증진, 중증정신질환자 관리",02-2298-1080,37.5544895353,127.021461921
경북,칠곡군,건강증진,건강증진센터,경북 칠곡군 왜관읍 관문로1길 30,ㅇ 체력진단 및 운동처방ㅇ 혈압 및 혈당 등 건강검사ㅇ 영양상담 및 운동상담ㅇ 운동프로그램 운영,054-973-4000,35.99070797,128.4186406
