시도,시군구,수행기관명,주소,기관 대표전화,위도,경도
서울특별시,서울특별시,마포어르신돌봄통합센터,서울특별시 마포구 토정로 148-14 (상수동),02-325-3853,37.5450846731468,126.927018838807
부산광역시,부산광역시,부산광역시독거노인종합지원센터,부산광역시 중구 중구로 71 가톨릭센터 7층,051-253-2590,35.1043539464545,129.028572657778
대구광역시,대구광역시,진명재가노인돌봄센터,대구광역시 동구 아양로 239 진명시니어카운티 5층,053-954-0202,35.8870360277166,128.638877848167
인천광역시,인천광역시,인천광역시고령사회대응센터,인천광역시 미추홀구 석정로 229 행정타운및제물포스마트타운 10층,032-715-7685,37.4687584336674,126.660821349251
광주광역시,광주광역시,광주광역시사회서비스원,"광주 서구 상무중앙로 110 (치평동, 우체국보험광주회관) 8층 재단법인 광주광역시 사회서비스원",062-607-5239,35.1565802271515,126.848904172794
대전광역시,대전광역시,대전광역시사회서비스원,"대전 중구 보문로 246 (대흥동, 대림빌딩) 10층 대전광역시사회서비스원",042-331-5077,36.324609359881,127.422864348453
울산광역시,울산광역시,사회복지법인 함께하는사람들,울산광역시 중구 난곡10길 22,052-249-8088,35.5562374811577,129.279123907612
경기도,경기도,경기도 노인맞춤돌봄·응급안전안심서비스 광역기관,"경기 수원시 장안구 경수대로 1150 (파장동, 경기도인재개발원) 도서관 3층",031-8067-5211,37.3156294511949,126.991063418759
강원도,강원도,동해시U-Care센터,"강원 동해시 선돌길 19 (단봉동, 동해시U-Care센터)",033-533-1155,37.480723462176,129.124511083615
충청북도,충청북도,충청북도노인종합복지관,충청북도 청주시 서원구 흥덕로 42,070-4017-0040,36.6396846398692,127.474012869
충청남도,충청남도,홍성군노인종합복지관,충청남도 홍성군 홍성읍 내포로 146번길 30-11,041-631-0960,36.5971546382478,126.654646348635
전라북도,전라북도,우리노인복지센터,전라북도 전주시 덕진구 전주천서로 321,063-717-7179,35.821658819769,127.133562205915
전라남도,전라남도,전라남도사회서비스원,전남 목포시 양을로33번길 3 (산정동) 전라남도서부종합재가센터,061-277-9837,34.8014513676274,126.379991466798
