시도,시군구,시설유형(소),시설명,연락처
서울특별시,강남구,양로시설,효천성바오로집,02-572-5701
서울특별시,강남구,노인복지주택,서울시니어스타워(주)강남본부,02-2223-3351
서울특별시,강남구,노인복지주택,더시그넘하우스,25764400
서울특별시,강남구,노인요양시설,국민건강보험공단 서울요양원,221601000
서울특별시,강남구,노인요양시설,구립 역삼노인요양센터,02-501-5684
서울특별시,강남구,노인요양시설,강남 성은실버케어스,260847800
서울특별시,강남구,노인요양시설,강남구립 논현요양센터,02-6954-3662
서울특별시,강남구,노인요양시설,광림노인전문요양원,033-263-3995
서울특별시,강남구,노인요양시설,더시그넘하우스 너싱홈,02-576-4400
서울특별시,강남구,노인요양시설,강남실버센터,02-549-7133
서울특별시,강남구,노인요양공동생활가정,한마음요양원,25770091
서울특별시,강남구,노인요양공동생활가정,강남유명요양원,24453770
서울특별시,강남구,노인요양공동생활가정,구립대치노인요양센터,02-564-0108
서울특별시,강남구,노인복지관,강남구립 논현노인종합복지관,02-541-0226
서울특별시,강남구,노인복지관,강남구립 대치노인복지센터,02-564-0108
서울특별시,강남구,노인복지관,강남구립 강남시니어플라자,02-3467-9900
서울특별시,강남구,노인복지관,강남구립 강남노인종합복지관,02-549-7070
서울특별시,강남구,노인복지관,강남구립 역삼노인복지센터,02-501-5674
서울특별시,강남구,노인복지관,강남구립 압구정노인복지센터,25489898
서울특별시,강남구,노인교실,강남구립 강남70플러스라운지,02-573-7080
서울특별시,강남구,재가노인복지시설,역삼사랑데이케어센터,25684001
서울특별시,강남구,재가노인복지시설,선우재가복지센터,24518663
서울특별시,강남구,재가노인복지시설,브라보 시니어케어,7040605196
서울특별시,강남구,재가노인복지시설,구립 역삼데이케어센터,02-501-5684
서울특별시,강남구,재가노인복지시설,강남구립 세심정데이케어센터,234437142
서울특별시,강남구,재가노인복지시설,카리스 사회적협동조합,25727585
서울특별시,강남구,재가노인복지시설,보살핌 재가센터,25628850
서울특별시,강남구,재가노인복지시설,강남제일재가노인복지센터,25773345
서울특별시,강남구,재가노인복지시설,세곡데이케어센터,02-2226-8880
서울특별시,강남구,재가노인복지시설,케어링 복지용구센터,7042993448
서울특별시,강남구,재가노인복지시설,강남데이케어센터,02-549-8488
서울특별시,강남구,재가노인복지시설,아리아케어방문요양강남대치센터,25082239
서울특별시,강남구,재가노인복지시설,구립대치데이케어센터,02-564-0108
서울특별시,강남구,재가노인복지시설,목련데이케어센터,02-3412-2226
서울특별시,강남구,재가노인복지시설,노인통합지원센터,02-557-8091
서울특별시,강남구,재가노인복지시설,삼성 재가복지센터,25674090
서울특별시,강남구,재가노인복지시설,허니재가방문요양센터,24514876
서울특별시,강남구,재가노인복지시설,강남노인복지센터,02-565-3857
서울특별시,강남구,재가노인복지시설,압구정데이케어센터,02-548-0206
서울특별시,강남구,재가노인복지시설,A+효담라이프케어 OK복지용구,215336709
서울특별시,강남구,재가노인복지시설,마리아데이케어센터,1099289116
서울특별시,강남구,재가노인복지시설,서울시니어스강남타워 데이케어센터,02-2223-3340
서울특별시,강남구,재가노인복지시설,연지 재가복지센터,263480821
서울특별시,강남구,재가노인복지시설,더케어방문요양센터,25392227
서울특별시,강남구,재가노인복지시설,학수정데이케어센터,02-518-9198
서울특별시,강남구,재가노인복지시설,역삼재가노인데이케어센터,02-564-9294
서울특별시,강남구,재가노인복지시설,한마음데이케어센터,25770091
서울특별시,강남구,재가노인복지시설,효사랑 부모님 돌봄 재가복지센터,24511952
서울특별시,강남구,재가노인복지시설,예은 재가복지센터,25677852
서울특별시,강남구,재가노인복지시설,행복재가노인복지센터,234118274
서울특별시,강남구,재가노인복지시설,아리아케어 방문요양 강남 압구정센터,260147822
서울특별시,강남구,재가노인복지시설,가화락 재가노인복지센터,25717608
서울특별시,강남구,재가노인복지시설,명화 데이케어센터,02-459-2696
서울특별시,강남구,재가노인복지시설,국민건강보험공단 서울요양원 재가복지센터,02-2160-1000
서울특별시,강남구,재가노인복지시설,사)한국한아름복지회 재가노인지원센터,02-573-7943
서울특별시,강남구,재가노인복지시설,개포데이케어센터,234129988
서울특별시,강남구,재가노인복지시설,강남논현데이케어센터,02-547-0881
서울특별시,강남구,노인일자리지원기관,서울강남시니어클럽,02-547-8866
