시도,시군구,센터명,장소/위치,이용정원,연락처,위도,경도
세종특별자치시,마음로,고운동(북측)복합커뮤니티센터,세종특별자치시 마음로 284 (고운동)4층 주부교실,10명,044-868-6024,36.519724340798,127.236589788899
세종특별자치시,대평1길,대평동복합커뮤니티센터,세종특별자치시 대평1길 10 (대평동)문화사랑방-2,10명,044-868-6024,36.4709793532592,127.279314970603
경상북도,구미시,구미시 선산읍행정복지센터,경상북도 구미시 선산읍 선산중앙로 71-1 ,25명,054-841-2182,36.2429628142132,128.29905066887
경상북도,구미시,구미시 종합비지니스지원센터,경상북도 구미시 구미대로 350-27 (신평동)구미시 종합비지니스지원센터 지하1층,32명,054-841-2182,36.1192104205531,128.365688301138
경상북도,구미시,구미시립도서관인동분관,경상북도 구미시 인동14길 14 (진평동),18명,054-841-2182,36.0994341996105,128.423667959379
경상북도,김천시,김천시 양금동행정복지센터,경상북도 김천시 강변로 178 (황금동)양금동행정복지센터 2층,10명,054-841-2182,36.1104660004668,128.123394283387
경상북도,구미시,구미시 인동동행정복지센터,경상북도 구미시 인동15길 42 (인의동),15명,054-841-2182,36.1042561339062,128.429119230759
세종특별자치시,해밀2로,해밀동복합커뮤니티센터,세종특별자치시 해밀2로 6 (해밀동)해밀동복합커뮤니티센터 2층 도서관 내 세미나실,10명,044-868-6024,36.5278607582866,127.268667982081
경상북도,구미시,구미시 고아읍행정복지센터,경상북도 구미시 고아읍 선산대로 980 ,20명,054-841-2182,36.2110130768161,128.328452559347
경기도,부천시,상동도서관,경기도 부천시 상이로 12 (상동)상동도서관3층,30명,1600-6813,37.4901397739331,126.744750811116
경상북도,김천시,김천시 대신동행정복지센터,경상북도 김천시 신양1길 22 (신음동)대신동행정복지센터 2층,10명,054-841-2182,36.1353004128397,128.115855045282
경상북도,안동시,안동시노인종합복지관,경상북도 안동시 축제장1길 49 (운흥동)1층 미디어실,10명,054-841-2182,36.5608056207511,128.728246048687
부산광역시,부산진구,개금종합사회복지관,부산광역시 부산진구 백양관문로77번길 140 (개금동)개금종합사회복지관,12명,070-5029-0817,35.1641281314465,129.024995003388
경상북도,울진군,남울진민원센터,경상북도 울진군 평해읍 월송정로 103 2층,10명,054-841-2182,36.7246591063682,129.441435235455
세종특별자치시,노을3로,한솔동복합커뮤니티센터,세종특별자치시 노을3로 85 (한솔동)정음관2층 솔마루-4,10명,044-868-6024,36.4791740367484,127.254667139178
경상북도,경주시,경주시 성건동주민자치센터,경상북도 경주시 북문로 15 (성건동),10명,054-841-2182,35.8502509542607,129.203859839396
서울특별시,강동구,서울시민대학 동남권캠퍼스,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)4층 교육장 (소프트웨어3실 & 스마트강의실)",10명,1544-9782,37.5574405229047,127.16967893433
경기도,과천시,대한민국여성능력개발협회,경기도 과천시 삼부골2로 24 (주암동)2층 제 2실습실,10명,1600-6813,37.4453065876918,127.022987821159
경상남도,양산시,양산시 가족센터,경상남도 양산시 양주1길 7-1,10명,055-213-2775,35.3402182224579,129.031310612947
광주광역시,북구,무등종합사회복지관,"광주광역시 북구 삼정로 10 (두암동, 두암주공4단지 아파트)2층",8명,062-224-0096,35.16305391269,126.93731614786
서울특별시,금천구,금천누리복지관,서울특별시 금천구 가산로 129 (가산동)금천누리종합사회복지관 3층 교육실,10명,1544-9782,37.4768918173319,126.8917817099
부산광역시,동래구,쌍용예가 커뮤니티센터,"부산광역시 동래구 사직로 80 (사직동, 사직 쌍용 예가)쌍용아파트 관리사무소 1층",10명,051-987-0201 ,35.1966279852865,129.057505998382
충청남도,아산시,온주종합사회복지관,"충청남도 아산시 외암로 1420 (읍내동, 주공아파트)온주종합사회복지관 3층 컴퓨터실",15명,041-415-1097(~1098),36.7638787257032,127.014975110451
경상북도,경주시,경주시민정보화교육장,경상북도 경주시 금성로318번길 21-4 (서부동),20명,054-841-2182,35.8460556022873,129.209450557374
부산광역시,동래구,팽나무하우스,부산광역시 동래구 충렬대로256번길 31 1797 팽나무하우스,10명,070-5029-0817,35.199705306399,129.086943478777
경상남도,양산시,양산시 종합사회복지관,경상남도 양산시 물금읍 오봉10길 8,10명,055-213-2777,35.3361094205103,129.003676773244
경상북도,포항시,포항시 청하면행정복지센터,경상북도 포항시 북구 청하면 청하로217번길 22 2층,9명,054-841-2182,36.1995623353589,129.337947224056
부산광역시,동래구,숲도서관,부산광역시 동래구 안락동 107-1 1층,8명,070-5029-0817,35.1932613212198,129.113661682656
경기도,시흥시,대야평생학습센터,경기도 시흥시 은행로173번길 14 (대야동)대야평생학습센터,10명,1600-6813,37.445533431885,126.796825237153
경기도,시흥시,북부노인복지관,"경기도 시흥시 은계중앙로 37 (은행동, 시흥은계엘에이치7단지)북부노인복지관1층",10명,1600-6813,37.4339393176309,126.800553160466
전라북도,남원시,오들 작은도서관,"전라북도 남원시 오들1길 26 (도통동, 부영5차아파트)부영5차아파트 내 오들작은도서관",10명,1899-6222,35.4167768315162,127.398969435615
경상북도,안동시,안동시청,경상북도 안동시 퇴계로 115 (명륜동)대동관 2층 정보화교육장,30명,054-841-2182,36.5681878023317,128.730260547553
경상북도,청도군,청도군 가족센터,경상북도 청도군 화양읍 청려로 1846 ,20명,054-841-2182,35.6483852307984,128.718682298137
서울특별시,구로구,스마트 구로 홍보관,서울특별시 구로구 새말로 지하117-21 (신도림동)디큐브시티 지하 1층(신도림역 1번출구 방향),10명,1544-9782,37.5087701449787,126.891080501385
대구광역시,수성구,만촌2동 달빛커뮤니티센터,대구광역시 수성구 충의로4길 25 (만촌동)2층,8명,053-214-1801,35.8648348313378,128.647355524826
부산광역시,동구,부산역 유라시아 플랫폼,부산광역시 동구 중앙대로 210 (초량동)유라시아플랫폼 112호,10명,070-5029-0817,35.1151466925173,129.040834792008
경기도,안양시,안양시비산종합사회복지관,경기도 안양시 동안구 임곡로 74 (비산동)비산종합사회복지관 2층 프로그램실,10명,1600-6813,37.4058895744791,126.934065354671
강원도,고성군,고성군청 별관,강원도 고성군 간성읍 고성중앙길 9 고성군청 별관 2층 정보화교육장,25명,033-910-0833,38.3812968811878,128.468044419919
광주광역시,서구,농성 문화의 집,광주광역시 서구 화정로 314 (농성동)농성2동 주민센터 2층 농성문화의집,6명,062-224-0096,35.1503790040099,126.890221188067
경상남도,남해군,남해군종합사회복지관,경상남도 남해군 남해읍 망운로 32 3층,10명,055-213-2775,34.8385160368166,127.890424384522
세종특별자치시,도움3로,종촌동복합커뮤니티센터,세종특별자치시 도움3로 125 (종촌동)4층 쉼앤겔러리,5명,044-868-6024,36.504634502107,127.246869363252
광주광역시,동구,지산1동 마을사랑채,광주광역시 동구 지산로 63 (지산동)지산1동 마을사랑채 다목적실,7명,062-224-0096,35.1493344436261,126.932851462831
경상북도,영주시,영주시 풍기인삼정보화마을,경상북도 영주시 풍기읍 인삼로10번길 38 1층 ,8명,054-841-2182,36.8733070884141,128.521435851169
광주광역시,남구,광주남구생활문화센터,광주광역시 남구 봉선로 208 (봉선동)남구생활문화센터,5명,062-224-0096,35.1220637174421,126.917404596072
충청남도,아산시,아산시노인종합복지관,충청남도 아산시 남산로 10 (온천동)아산시노인종합복지관,20명,041-415-1097(8),36.7820849227382,126.99511510904
강원도,강릉시,강릉시 영상미디어센터,강원도 강릉시 율곡로 2923-12 (교동)행복한모루 4층 강의실,6명,033-910-0833,37.7638347789755,128.891228819712
경기도,평택시,합정종합사회복지관,"경기도 평택시 평택로 22 (합정동, 주공아파트)합정종합사회복지관 1층(310동) 주공3단지 내",10명,1600-6813,36.9903394979547,127.089487494626
서울특별시,은평구,은평구립역촌노인복지관,서울특별시 은평구 연서로3나길 11-30 (역촌동)2층,10명,1544-9782,37.6033427209461,126.911371067909
