시도,구분,제목,장소,기간,가격,문의처
서울특별시,뮤지컬/오페라,트레드밀,CJ 아지트 대학로(구 SM아트홀),2022-09-28~2022-11-05,유료,인터파크 1544-1555
서울특별시,전시,"MZ 세대 조각가 곽인탄 개인전, ""팔레트""",경복궁,2022-10-05~2022-11-05,무료,info@konggallery.com
부산광역시,연극,다만 사라질 뿐이다 [부산],나다소극장,2022-10-30~2022-11-05,유료,동그라미그리기 1577-4868
광주광역시,무용/발레,"광주시립발레단 수시공연, 발레 살롱콘서트 Ⅱ",빛고을시민문화관,2022-11-03~2022-11-05,유료,광주시립발레단 062-415-5502
대전광역시,음악/콘서트,"아트잇다 첫번째 이야기, 임오화변: 세 가지의 시선으로 음악을 그리다",대전 아트브릿지,2022-11-03~2022-11-05,유료,아트로 042-482-4463
경기도,뮤지컬/오페라,전설의 리틀 농구단 [안산],안산문화예술의전당,2022-11-03~2022-11-05,유료,안산문화재단 031-481-4023
서울특별시,무용/발레,구조의 구조,대학로예술극장 대극장,2022-11-04~2022-11-05,유료,070-8276-0917
경상남도,연극,"작은 무대에 부는 바람, 아빠들의 소꿉놀이",현장아트홀,2022-11-04~2022-11-05,유료,한국연극협회 경상남도지회 055-746-7413
인천광역시,기타,6×8(육 곱하기 팔) 그리고 6피트의 땅,남동소래아트홀,2022-11-04~2022-11-05,무료,010-5396-3306
경상남도,연극,"작은 무대에 부는 바람, 아빠들의 소꿉놀이",현장아트홀,2022-11-04~2022-11-05,유료,"예술중심현장 055-746-7411, 7413"
경기도,연극,클럽 베를린 [의정부],의정부아트캠프,2022-11-04~2022-11-05,유료,의정부 아트캠프 031-850-5134
광주광역시,연극,"제25회 광주소극장축제, 목욕탕블루스",예린소극장,2022-11-04~2022-11-05,유료,광주소극장협회 062-222-7008 / 010-4701-7300
광주광역시,연극,"제25회 광주소극장축제, 늦은행복",예술극장 통,2022-11-04~2022-11-05,유료,광주소극장협회 062-222-7008 / 010-4701-7300
경기도,뮤지컬/오페라,백만송이의 사랑 [군포],군포문화예술회관,2022-11-04~2022-11-05,유료,군포문화예술회관 031-390-3500~1
서울특별시,국악,흥보마누라 이혼소송사건,성수아트홀,2022-11-04~2022-11-05,유료,성수아트홀 02-2204-7574
서울특별시,뮤지컬/오페라,"서울오페라페스티벌, 토스카",강동아트센터,2022-11-04~2022-11-05,유료,강동아트센터 02-440-0500
충청남도,무용/발레,지젤 [공주],공주문예회관,2022-11-04~2022-11-05,유료,공주문예회관 041-852-0858
인천광역시,뮤지컬/오페라,올 더 웨이 [인천 서구],인천서구문화회관,2022-11-04~2022-11-05,유료,인천서구문화회관 032-579-1150
경상남도,연극,이상과 슈만 [안동],안동문화예술의전당,2022-11-04~2022-11-05,유료,안동문화예술의전당 054-840-3600
대구광역시,뮤지컬/오페라,"제19회 대구국제오페라축제, 신데렐라",대구오페라하우스,2022-11-04~2022-11-05,유료,대구오페라하우스 053-666-6000 / 전화예매 1661-5946
부산광역시,연극,회란기 [부산],부산문화회관 중극장,2022-11-04~2022-11-05,유료,부산문화회관 051-607-6000 (ARS 1번)
충청북도,연극,[집밖] 후설 [충주],충주시문화회관,2022-11-05~2022-11-05,유료,충주시문화회관 043-850-3914
서울특별시,음악/콘서트,제2회 루먼 브라스 정기연주회,예술의전당 IBK챔버홀,2022-11-05~2022-11-05,유료,위드클래식 02-588-6360
서울특별시,음악/콘서트,쇼팽 vs 리스트,쌀롱드무지끄,2022-11-05~2022-11-05,유료,쌀롱드무지끄 010-8826-8364
경기도,뮤지컬/오페라,뮤지컬 <전설의리틀농구단>,안산문화예술의전당,2022-11-05~2022-11-05,유료,031-481-4022
