시도,시군구,기업명,연락처,구인사항,접수마감일자
광주광역시,동구,6070다방,062-223-8811,"사회참여 기회를 제공하여 소득보충, 적극적 사회참여 및 건강증진 등으로 노인문제 예방 및 사회적 비용을 절감하고 노인인력 활용에대한 사회적 인식개선을 위한 2022년 노인일자리 및 사회활동 지원사업 참여 어르신을 모집합니다.1. 모집입원 : 5명2. 모집대상 : 만 60세 이상의 동구지역에 거주하시는 어르신3. 근무내용 : 커피 제조 및 판매, 손님응대4. 근무시간 : 주2~3일, 1일 5시간 활동※ 근무시간은 변동가능5. 근무장소 : 동구 학동·증심사입구역 커피숍 매장6. 월보수 : 350,000원(1개월 만근 시)7. 지참서류 : 주민등본1통,  통장사본(본인), 참여신청서(비치서류), 코로나백신접종확인서8. 모집장소 : 거주지 관할 주민자치센터(동사무소), 광주동구시니어클럽9. 지원제외대상",2022-12-31
광주광역시,동구,여로(산수점),062-223-8811,"사회참여 기회를 제공하여 소득보충, 적극적 사회참여 및 건강증진 등으로 노인문제 예방 및 사회적 비용을 절감하고노인인력 활용에 대한 사회적 인식개선을 위한 2022년 노인일자리 및 사회활동 지원사업 참여 어르신을 모집합니다.1. 모집입원 : 4명2. 모집대상 : 만 60세 이상의 동구지역에 거주하시는 어르신3. 근무내용 : 청소관리, 손님응대, 프로그램 진행 4. 근무시간 : 주2~3일, 1일 3시간 ※ 근무시간은 변동가능5. 근무장소 : 광주 동구 동계로 16-17(산수동)6. 월보수 : 270,000원(1개월 만근 시)7. 지참서류 : 주민등본1통,  통장사본(본인), 참여신청서(비치서류), 코로나백신접종확인서8. 모집장소 : 거주지 관할 주민자치센터(동사무소), 광주동구시니어클럽9. 지원제외대상<",2022-12-31
광주광역시,동구,여로(동명점),062-223-8811,"사회참여 기회를 제공하여 소득보충, 적극적 사회참여 및 건강증진 등으로 노인문제 예방 및 사회적 비용을 절감하고노인인력 활용에 대한 사회적 인식개선을 위한 2022년 노인일자리 및 사회활동 지원사업 참여 어르신을 모집합니다.1. 모집입원 : 4명2. 모집대상 : 만 60세 이상의 동구지역에 거주하시는 어르신3. 근무내용 : 청소관리, 손님응대, 프로그램 진행 4. 근무시간 : 주2~3일, 1일 3시간 ※ 근무시간은 변동가능5. 근무장소 : 광주 동구 동계로 16-17(산수동)6. 월보수 : 270,000원(1개월 만근 시) 7. 지참서류 : 주민등본1통,  통장사본(본인), 참여신청서(비치서류), 코로나백신접종확인서8. 모집장소 : 거주지 관할 주민자치센터(동사무소), 광주동구시니어클럽9. 지원제외대상",2022-12-31
광주광역시,북구,광주해피케어,010-3277-6564,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 - 산모,신생아 돌봄서비스  * 부서배치 및 참여인원 - 산모신생아 건강관리사 / 5 명직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 ,인턴고용후 계속고용여부 판단* 모집연령대: 만60세이상* .근무지역 : 광주 전지역* 자격사항 : 산후도우미수료증(별도 교육이 있음), 특별한 자격이나 경력 필요 없으나 경력자 우대* 고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
광주광역시,북구,강북성북도봉 산후도우미 이레아이맘(강북),010-5304-7984,"* 사업내용 - 산모,신생아 돌봄서비스  * 부서배치 및 참여인원 - 산모신생아 건강관리사 / 5명직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 ,인턴고용후 계속고용여부 판단* 모집연령대: 만60세이상* .근무지역 : 서울 강북 부근* 자격사항 : 특별한 자격이나 경력 필요 없으나 경력자 우대* 고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
광주광역시,북구,강북성북도봉산후도우미이레아이맘, 010-5304-7984,"* 사업내용 - 산모,신생아 돌봄서비스  * 부서배치 및 참여인원 - 산모신생아 건강관리사 / 5명직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 ,인턴고용후 계속고용여부 판단* 모집연령대: 만60세이상* .근무지역 : 서울 성북구 부근* 자격사항 : 특별한 자격이나 경력 필요 없으나 경력자 우대* 고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
광주광역시,북구,한영기업,010-6602-1630,"1.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복2.사업내용 : 폐플라스틱 재활용 기기 조작원3.부서배치 및 참여인원 : 제조 /  2명 4.운영계획 : 오리엔테이션5.직무교육 : 자제교육6.모집연령대 : 60대7.모집직종 : 단순 제조,생산원8.근무지역 : 광주 광산구 하남산단6번로9.자격사항 : 별도 자격 없음10. 근무시간 : 오전 8시 30분 ~ 오후 5시30분  / 주 5일11.고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 2명 100% 계획",2022-12-31
광주광역시,북구,이레아이맘,010-2995-8865,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 - 산모,신생아 돌봄서비스* 부서배치 및 참여인원 - 산모신생아 건강관리사 / 5 명* 직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 * 모집연령대: 만60세이상* 근무시간 : 09:00~ 18:00 * .근무지역 : 경기도 김포시 * 자격사항 : 특별한 자격이나 경력 필요 없으나 경력자 우대* 고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 5 명 100% 계획",2022-12-31
광주광역시,북구,예찬어린이집,010-7720-8948,1.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복2.사업내용 : 어린이집  조리사3.구인인원 : 1명4.운영계획 : 오리엔테이션5.직무교육 : 자제교육6.모집연령대 : 60대7.모집직종 : 한식 조리사8. 근무시간: 8시 30분~ 14:30분9.근무지역 : 광주 북구 일곡동10.자격사항 : 한식조리사 자격증 필수 필요11. 고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 1명 100% 계획,2022-12-31
광주광역시,북구,산모도우미119,010-500-4945,"* 사업목적 - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 * 사업내용 - 산모,신생아 돌봄서비스 * 부서배치 및 참여인원 - 산모신생아 건강관리사 / 10 명* 근무시간 : 09:00~ 18:00 직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 * 모집연령대: 만60세이상* .근무지역 : 서울시 도봉구* 자격사항 : 산모신생아 건강관리사 교육이수자[입사후 교육 가능]* 고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 10명 100% 계획",2022-12-31
