시도,시군구,치매센터유형,치매센터명,소재지도로명주소,주요치매관리프로그램소개,운영기관전화번호,위도,경도
전라북도,김제시,치매안심센터,김제시 치매안심센터,전라북도 김제시 성산길 138,인지재활프로그램인지강화프로그램쉼터카페제공치매치료비지원치매선별검사 및 진단검사 등,063-540-4978,35.8008084008,126.883339
충청남도,공주시,치매안심센터,공주시치매안심센터,충청남도 공주시 봉황로 123 공주시보건소 1층,"1. 치매조기검진2. 치매노인 지문등록3. 치매치료관리비 지원4. 조호물품(위생물품) 제공5. 치매예방교실6. 인지강화교실7. 인지재활프로그램8. 기타 인지자극 프로그램9. 헤아림 가족교실10. 치매가족 힐링 프로그램11. 치매공공후견 사업12. 치매어르신주간보호소 운영(위탁)13. 치매안심마을 운영14. 치매인식 개선 및 교육, 홍보 사업15. 배회가능 어르신 인식표 발급 및 GPS 운영",041-840-8811,36.4572932,127.1208348
세종특별자치시,조치원읍,치매안심센터,세종특별자치시 치매안심센터(조치원),세종특별자치시 조치원읍 수원지1길 16,"치매검진, 상담, 쉼터, 가족교실 프로그램 등 운영(기초)",044-301-2000,36.6072550614,127.300019556
세종특별자치시,다솜1로,치매안심센터,세종특별자치시 치매안심센터(어진동),세종특별자치시 다솜1로 31,"치매검진, 상담, 쉼터, 가족교실 프로그램 등 운영(기초)",044-301-2000,36.5019041611,127.256616339
세종특별자치시,조치원읍,광역치매센터,세종특별자치시광역치매센터,세종특별자치시 조치원읍 수원지1길 16,"치매기획, 연구, 교육, 기술지원사업(광역)",044-861-8540,36.6072550614,127.300019556
충청남도,아산시,치매안심센터,아산시치매안심센터,충청남도 아산시 번영로 216번길 18,"쉼터운영(인지재활,인지강화,치매예방프로그램)",041-537-3474,36.78291637,127.0140673
전라남도,나주시,치매안심센터,나주시 치매안심센터,전라남도 나주시 풍물시장2길 57-32,"치매 예방 프로그램, 인지강화 프로그램, 치매환자 쉼터 운영, 치매환자 가족 교실 운영",061-339-4786,34.9952282504,126.7082249081
서울특별시,도봉구,치매상담전화센터,도봉구치매지원센터,서울특별시 도봉구 마들로 650,"치매환자의 등록·관리, ?치매의 예방·교육 및 홍보, 치매조기검진",02-955-3591,37.6680283466,127.0470649989
경상북도,성주군,치매안심센터,성주군치매안심센터,경상북도 성주군 성주읍 성밖숲길12,인지강화및치매환자교실 운영 등,054-930-8191,35.917407,128.2785293
경상남도,함안군,치매안심센터,함안군 치매안심센터,경상남도 함안군 군북면 함마대로 768-3,치매예방교육조기검진사업치매환자 등록관리치매치료관리비 지원인지재활프로그램치매환자가족교육,055-580-3202,35.2639061,128.3428857
